name,aliases,country,province,lat,lon,Route,URL
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,Six Dry Feet,https://www.mountainproject.com/route/112557200/six-dry-feet
Mount Moby Dick,Battle Range|Columbia-Shushwap|British Columbia|North America|International,Canada,British Columbia,50.9595,-117.413,South Face Rib,https://www.mountainproject.com/route/106988854/south-face-rib
Sea Monster Area,Walton Glen Canyon Ice|New Brunswick|North America|International,Canada,New Brunswick,45.4917,-65.29909,Ventura Highway,https://www.mountainproject.com/route/112511333/ventura-highway
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,Alpine Gully,https://www.mountainproject.com/route/112574772/alpine-gully
* Heart Creek Ice,Heart Creek|Bow Valley|Alberta|North America|International,Canada,Alberta,51.047,-115.1566,Warm-up Ramble,https://www.mountainproject.com/route/107390069/warm-up-ramble
Beachy Bell,Bell Island (ice)|Avalon Peninsula|Newfoundland|Newfoundland and Labrador|North America|International,Canada,Newfoundland and Labrador,47.60563,-53.02169,Your mom,https://www.mountainproject.com/route/112451931/your-mom
Sofa Creek,Waterton Lakes National Park|Alberta|North America|International,Canada,Alberta,49.02466,-113.82209,Racing with Shadows,https://www.mountainproject.com/route/111902427/racing-with-shadows
Eye of the Needle Area,Walton Glen Canyon Ice|New Brunswick|North America|International,Canada,New Brunswick,45.49021,-65.29621,Snapping Turtle,https://www.mountainproject.com/route/112499408/snapping-turtle
Eye of the Needle Area,Walton Glen Canyon Ice|New Brunswick|North America|International,Canada,New Brunswick,45.49021,-65.29621,Giza's Way Out,https://www.mountainproject.com/route/112499422/gizas-way-out
Eye of the Needle Area,Walton Glen Canyon Ice|New Brunswick|North America|International,Canada,New Brunswick,45.49021,-65.29621,Fireball Alley,https://www.mountainproject.com/route/112500024/fireball-alley
